+--------+-------------+-------------+---------------------+-------------+-------------------------------+---------------------+---------------------+
| row_id | integer_col | decimal_col |    timestamp_col    | boolean_col |         holiday_name          |  business_datetime  |  created_datetime   |
+--------+-------------+-------------+---------------------+-------------+-------------------------------+---------------------+---------------------+
|      1 |          55 |        NULL | 2026-01-06 07:48:25 |       false | Makha Bucha Day               | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      2 |        NULL |        NULL | 2026-01-06 00:00:00 |       false | Labour Day                    | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      3 |        NULL |        NULL | 2026-01-26 00:00:00 |        NULL | Chulalongkorn Day             | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      4 |          81 |        NULL | 2026-01-06 00:00:00 |       false | King's Birthday               | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      5 |          73 |        NULL | 2026-01-26 00:00:00 |       false | NULL                          | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      6 |          58 |        NULL | 2026-01-06 07:48:25 |        NULL | King Bhumibol Memorial Day    | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      7 |          64 |        NULL | 2026-01-06 07:48:25 |       false | Songkran Festival             | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      8 |         261 |        NULL | 2026-01-06 07:48:25 |        true | NULL                          | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|      9 |        NULL |     456.789 | 2026-01-06 07:48:25 |        true | Constitution Day              | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     10 |          61 |        NULL | 2026-01-26 00:00:00 |       false | The Royal Ploughing Ceremony  | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     11 |        NULL |        NULL | 2026-01-06 07:48:25 |       false | On Constitution Day           | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     12 |        NULL |        NULL | 2026-01-06 07:48:25 |       false | On King Bhumibol Memorial Day | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     13 |          51 |        NULL | 2026-01-06 00:00:00 |        true | NULL                          | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     14 |        NULL |        NULL |                NULL |       false | New Year's Day                | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     15 |        NULL |        NULL | 2026-01-06 00:00:00 |        true | Queen's Birthday              | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     16 |          72 |        NULL | 2026-01-26 00:00:00 |        true | Songkran Festival             | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     17 |        NULL |        NULL | 2026-01-06 00:00:00 |       false | Makha Bucha                   | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     18 |        NULL |        NULL | 2026-01-06 00:00:00 |       false | After Christmas Day           | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     19 |        NULL |        NULL | 2026-01-06 00:00:00 |       false | On Chulalongkorn Day          | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     20 |        NULL |        NULL | 2026-01-06 07:48:25 |       false | Songkran Festival             | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     21 |          79 |        NULL | 2026-01-26 00:00:00 |        true | Labour Day                    | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
|     22 |          79 |        NULL | 2026-01-06 00:00:00 |       false | King Bhumibol Memorial Day    | 2026-01-14 01:09:28 | 2026-01-14 01:09:28 |
